"bioclim1","bioclim2","corr"
1,2,-0.131181182024152
1,3,0.190406755710874
1,4,-0.239299686236927
1,5,0.561857185670041
1,6,0.689631017843798
1,7,-0.204027885524186
1,8,0.691016905073731
1,9,0.740084205105662
1,10,0.688756941015817
1,11,0.784076280524151
1,12,0.06974810220306
1,13,0.14820780086899
1,14,-0.122003419223086
1,15,0.254331078634876
1,16,0.124018137118312
1,17,-0.116955987931097
1,18,-0.16195409574428
1,19,0.00729881481275113
2,3,-0.415729827193516
2,4,0.590767094629527
2,5,0.532778489060963
2,6,-0.648452379901819
2,7,0.802168163687824
2,8,0.0528826260764499
2,9,-0.229500180467545
2,10,0.283340570858968
2,11,-0.470254433372846
2,12,-0.734000328027106
2,13,-0.660792763762794
2,14,-0.650445416284834
2,15,0.410941837167537
2,16,-0.66572761843579
2,17,-0.683672374256621
2,18,-0.621082430171357
2,19,-0.673171247902312
3,4,-0.946829753195962
3,5,-0.526196765105206
3,6,0.715082409557156
3,7,-0.85786127566151
3,8,-0.0891788979171953
3,9,0.263899878503473
3,10,-0.478682496712363
3,11,0.686625205035895
3,12,0.627799660845553
3,13,0.531427144629194
3,14,0.494258708510077
3,15,-0.318133739027655
3,16,0.538291780461542
3,17,0.510388263562696
3,18,0.461608831724752
3,19,0.510043629691301
4,5,0.547676450129411
4,6,-0.796212742858287
4,7,0.934238132759233
4,8,0.0739267967472758
4,9,-0.302577483685483
4,10,0.470870589407713
4,11,-0.757734802958272
4,12,-0.758222146873832
4,13,-0.683583962294611
4,14,-0.534131982682063
4,15,0.304337412822272
4,16,-0.690114757140271
4,17,-0.568046310483386
4,18,-0.55486711219196
4,19,-0.57302559953653
5,6,-0.105221253089458
5,7,0.632308279196822
5,8,0.550965761599749
5,9,0.386635138028426
5,10,0.929857232460993
5,11,0.0398506236055503
5,12,-0.579488986225842
5,13,-0.461664244344616
5,14,-0.574794726195086
5,15,0.402603467165502
5,16,-0.482902851838605
5,17,-0.591623572642386
5,18,-0.68149250519321
5,19,-0.452587544382096
6,7,-0.820490107746031
6,8,0.319156938784079
6,9,0.652916405890489
6,10,0.0657286603955908
6,11,0.958163519267386
6,12,0.605162956874521
6,13,0.574610987350051
6,14,0.400413722850521
6,15,-0.183654019715936
6,16,0.565979642754414
6,17,0.427252402221837
6,18,0.335869107073165
6,19,0.512721900977394
7,8,0.0734051346274905
7,9,-0.285398393541524
7,10,0.466708217988848
7,11,-0.705967077751544
7,12,-0.790161451087023
7,13,-0.700220919446001
7,14,-0.635290443127099
7,15,0.382664988990429
7,16,-0.705639684209044
7,17,-0.665923433372432
7,18,-0.632093622957906
7,19,-0.658352037047334
8,9,0.240649893766141
8,10,0.645401251053878
8,11,0.398209248508695
8,12,-0.0826212153031226
8,13,-0.0118144016730301
8,14,-0.0668519702352237
8,15,0.246409699054708
8,16,-0.0311291008614748
8,17,-0.0831503916839793
8,18,-0.0791942987190851
8,19,-0.155130332849401
9,10,0.496622317457828
9,11,0.680542171729696
9,12,0.128441789981718
9,13,0.147123830390832
9,14,-0.0346070499209705
9,15,0.0235262686152603
9,16,0.134096512542238
9,17,-0.00952291169997192
9,18,-0.195791179074403
9,19,0.256360176386291
10,11,0.160975258624826
10,12,-0.460256831572884
10,13,-0.355784175785887
10,14,-0.436989462267079
10,15,0.321805830046272
10,16,-0.380866472317462
10,17,-0.453461158828753
10,18,-0.565822305354756
10,19,-0.323109200548344
11,12,0.529405713037174
11,13,0.536408783954491
11,14,0.255634598537379
11,15,-0.0448252310244479
11,16,0.524788564986672
11,17,0.282419944438081
11,18,0.240780860521226
11,19,0.382893778869271
12,13,0.940041435892518
12,14,0.764064645905634
12,15,-0.409735797387878
12,16,0.954314104751454
12,17,0.803142085529761
12,18,0.847215131669116
12,19,0.750698788938203
13,14,0.594820046019301
13,15,-0.160539461120652
13,16,0.993462764176459
13,17,0.637000354412986
13,18,0.773671126472954
13,19,0.607675748299383
14,15,-0.714000645722324
14,16,0.617614542781524
14,17,0.976843075693837
14,18,0.734951572367431
14,19,0.834712921349756
15,16,-0.196017161995565
15,17,-0.708942598664653
15,18,-0.368605463911731
15,19,-0.630583618514316
16,17,0.659308057023972
16,18,0.790700517329826
16,19,0.628594352582073
17,18,0.761325710155539
17,19,0.862263766653404
18,19,0.562276976952112
