"bioclim","soiltype","component","corr"
1,"topsoil",1,-0.066239609213135
1,"topsoil",2,0.0933427043756285
1,"topsoil",3,-0.0308190182823649
1,"topsoil",4,0.121620652259109
1,"topsoil",5,-0.0811612824725093
1,"topsoil",6,-0.0635703260601953
1,"botsoil",1,-0.0505184790035536
1,"botsoil",2,0.098883302221722
1,"botsoil",3,-0.0425954170779615
1,"botsoil",4,0.0455030717868332
1,"botsoil",5,-0.071778397001231
1,"botsoil",6,-0.0869144963295568
2,"topsoil",1,-0.14244465605189
2,"topsoil",2,0.164448614529669
2,"topsoil",3,0.01144314637658
2,"topsoil",4,-0.0249393277359959
2,"topsoil",5,0.110376539358222
2,"topsoil",6,0.126226832507111
2,"botsoil",1,-0.0951775209649132
2,"botsoil",2,0.167673448238682
2,"botsoil",3,-0.0251505171588241
2,"botsoil",4,-0.0338462324343365
2,"botsoil",5,0.0636650800937321
2,"botsoil",6,0.127258808219933
3,"topsoil",1,0.186664648233523
3,"topsoil",2,-0.257880773271347
3,"topsoil",3,0.15019113768788
3,"topsoil",4,-0.179656662865353
3,"topsoil",5,0.0300454177241053
3,"topsoil",6,0.124786268514388
3,"botsoil",1,0.15304767812211
3,"botsoil",2,-0.281134766962998
3,"botsoil",3,0.166526153824686
3,"botsoil",4,-0.15790201095727
3,"botsoil",5,0.0093464319665085
3,"botsoil",6,0.0603279904274849
4,"topsoil",1,-0.192500481571539
4,"topsoil",2,0.253217240223644
4,"topsoil",3,-0.133574070943412
4,"topsoil",4,0.138377183293741
4,"topsoil",5,0.00332388431503568
4,"topsoil",6,-0.0608944504690654
4,"botsoil",1,-0.152451612339051
4,"botsoil",2,0.276779450873814
4,"botsoil",3,-0.159999231493763
4,"botsoil",4,0.112552744987953
4,"botsoil",5,-0.0107780104426213
4,"botsoil",6,-0.0105126717053251
5,"topsoil",1,-0.214696971421264
5,"topsoil",2,0.278864539378847
5,"topsoil",3,-0.0863202247219691
5,"topsoil",4,0.170888817161392
5,"topsoil",5,-0.0388528204462434
5,"topsoil",6,-0.0530201365602895
5,"botsoil",1,-0.173838148470884
5,"botsoil",2,0.304097213003386
5,"botsoil",3,-0.117609288782526
5,"botsoil",4,0.0972261641963651
5,"botsoil",5,-0.0432645972735961
5,"botsoil",6,-0.0469276206034683
6,"topsoil",1,0.109693777594981
6,"topsoil",2,-0.136630599272758
6,"topsoil",3,0.0449104567465873
6,"topsoil",4,-0.0151304216379392
6,"topsoil",5,-0.0761847278773114
6,"topsoil",6,-0.023035617098979
6,"botsoil",1,0.08708194906206
6,"botsoil",2,-0.146556463327238
6,"botsoil",3,0.0599768845446965
6,"botsoil",4,-0.0427396437305591
6,"botsoil",5,-0.0637225917956863
6,"botsoil",6,-0.0787071042638753
7,"topsoil",1,-0.204896214478055
7,"topsoil",2,0.262141435267561
7,"topsoil",3,-0.0859253779117382
7,"topsoil",4,0.103690542198952
7,"topsoil",5,0.0365067668073357
7,"topsoil",6,-0.0162253203157449
7,"botsoil",1,-0.158726848349786
7,"botsoil",2,0.280723304212195
7,"botsoil",3,-0.116004981995765
7,"botsoil",4,0.0814996100614613
7,"botsoil",5,0.024812066012164
7,"botsoil",6,0.0281235583598044
8,"topsoil",1,-0.0954667348368551
8,"topsoil",2,0.113731718044808
8,"topsoil",3,-0.0455322418673814
8,"topsoil",4,0.1231044904698
8,"topsoil",5,-0.0464686268180571
8,"topsoil",6,-0.0749750876035038
8,"botsoil",1,-0.089269821865753
8,"botsoil",2,0.132378965869005
