"variety","center","weighted"
"arabica",-29.5,0
"arabica",-28.5,0
"arabica",-27.5,8.23126576463651e-09
"arabica",-26.5,2.74224982971019e-06
"arabica",-25.5,0.0036690550284299
"arabica",-24.5,0.0205395157903427
"arabica",-23.5,0.0239555216561409
"arabica",-22.5,0.0327659257679887
"arabica",-21.5,0.035175184752611
"arabica",-20.5,0.028046143187163
"arabica",-19.5,0.0180498508993149
"arabica",-18.5,0.0143169462630804
"arabica",-17.5,0.00814442495865439
"arabica",-16.5,0.013428200303659
"arabica",-15.5,0.0105357805307179
"arabica",-14.5,0.0152024470942581
"arabica",-13.5,0.0137877239187381
"arabica",-12.5,0.0147003596571091
"arabica",-11.5,0.00463104112034229
"arabica",-10.5,0.00337748677374822
"arabica",-9.5,0.00754717349756751
"arabica",-8.5,0.0112842234713615
"arabica",-7.5,0.00648532781879418
"arabica",-6.5,0.00938088030832773
"arabica",-5.5,0.0142230592132619
"arabica",-4.5,0.0360176861871833
"arabica",-3.5,0.0349572124511022
"arabica",-2.5,0.0273290489944727
"arabica",-1.5,0.0122188205534431
"arabica",-0.5,0.0151730580976825
"arabica",0.5,0.0191046018573252
"arabica",1.5,0.0253383743540994
"arabica",2.5,0.0265697098649796
"arabica",3.5,0.0150438071307919
"arabica",4.5,0.022790363997223
"arabica",5.5,0.0251162640720157
"arabica",6.5,0.0319942070510738
"arabica",7.5,0.0247865180311312
"arabica",8.5,0.0354533892798051
"arabica",9.5,0.0266739034929671
"arabica",10.5,0.013841162910921
"arabica",11.5,0.0104777382318397
"arabica",12.5,0.0118635649440533
"arabica",13.5,0.0297686670337771
"arabica",14.5,0.0423173525249662
"arabica",15.5,0.045833363461408
"arabica",16.5,0.0381536256137026
"arabica",17.5,0.031064462599715
"arabica",18.5,0.0246258027405163
"arabica",19.5,0.0192134735857398
"arabica",20.5,0.0186624339425607
"arabica",21.5,0.0191358507357882
"arabica",22.5,0.00344938785224591
"arabica",23.5,6.71116084057788e-05
"arabica",24.5,0.00336881855727178
"arabica",25.5,0.00012138392865102
"arabica",26.5,6.90150657377542e-05
"arabica",27.5,9.55670678738363e-05
"arabica",28.5,4.54812846498731e-05
"arabica",29.5,9.74840217360384e-06
"robusta",-29.5,0
"robusta",-28.5,0
"robusta",-27.5,1.032571491794e-08
"robusta",-26.5,1.23371845919286e-07
"robusta",-25.5,1.42018902088933e-05
"robusta",-24.5,0.000964570184547335
"robusta",-23.5,0.0121137748341119
"robusta",-22.5,0.0202475153590714
"robusta",-21.5,0.0239732102547562
"robusta",-20.5,0.0164704927690552
"robusta",-19.5,0.0182206362302961
"robusta",-18.5,0.0127228376250118
"robusta",-17.5,0.00931402382796348
"robusta",-16.5,0.00655972650012286
"robusta",-15.5,0.00335813661557846
"robusta",-14.5,0.00793057833050737
"robusta",-13.5,0.00877287843153812
"robusta",-12.5,0.0245314048243388
"robusta",-11.5,0.0178718110690584
"robusta",-10.5,0.0206749914765449
"robusta",-9.5,0.0132682685178497
"robusta",-8.5,0.0190621125433871
"robusta",-7.5,0.0106143204907255
"robusta",-6.5,0.0130241677354158
"robusta",-5.5,0.023611323412565
"robusta",-4.5,0.0147063954138053
"robusta",-3.5,0.0189729045514127
"robusta",-2.5,0.0230061750654001
"robusta",-1.5,0.0177346307526864
"robusta",-0.5,0.0281854129940029
"robusta",0.5,0.0261259509779603
"robusta",1.5,0.026012321915571
"robusta",2.5,0.0190604969149517
"robusta",3.5,0.0238495898479967
"robusta",4.5,0.0316673194836649
"robusta",5.5,0.0446180445504594
"robusta",6.5,0.0427505478334764
"robusta",7.5,0.0362098104732479
"robusta",8.5,0.0362020848481417
"robusta",9.5,0.0228221378948384
"robusta",10.5,0.0244644874588492
"robusta",11.5,0.0547559084406009
"robusta",12.5,0.0456014328540698
"robusta",13.5,0.0499909113553623
"robusta",14.5,0.0298739634024712
"robusta",15.5,0.0126730010094749
"robusta",16.5,0.00682433058121668
"robusta",17.5,0.0147644358513187
"robusta",18.5,0.0196144683577887
"robusta",19.5,0.0180259120300728
"robusta",20.5,0.0143605797504193
"robusta",21.5,0.0126685747684869
"robusta",22.5,0.000839294306030469
"robusta",23.5,8.48289287969095e-06
"robusta",24.5,2.2488920503605e-06
"robusta",25.5,1.1284877343809e-05
"robusta",26.5,8.65759792270104e-05
"robusta",27.5,0.000119884149852867
"robusta",28.5,5.70540173072676e-05
"robusta",29.5,1.22288873461995e-05
