Map statistics	m0f8465d2720a6b440c42acd34c2172fc66e796e2

#	Country Name	Total Area		Map Statistics						
1000 ha	%	Min.	Max.	Range	Mean	
1	Canada	0	0	∞	-∞	0	0	
2	Greenland	0	0	∞	-∞	0	0	
3	United States of America	1600	0	60.1	100	39.9	84	
4	Belarus	0	0	∞	-∞	0	0	
5	Bulgaria	0	0	∞	-∞	0	0	
6	Czech Republic	0	0	∞	-∞	0	0	
7	Hungary	0	0	∞	-∞	0	0	
8	Moldova, Rep.	0	0	∞	-∞	0	0	
9	Poland	0	0	∞	-∞	0	0	
10	Romania	0	0	∞	-∞	0	0	
11	Russian Federation	0	0	∞	-∞	0	0	
12	Slovakia	0	0	∞	-∞	0	0	
13	Ukraine	0	0	∞	-∞	0	0	
14	Denmark	0	0	∞	-∞	0	0	
15	Estonia	0	0	∞	-∞	0	0	
16	Finland	0	0	∞	-∞	0	0	
17	Iceland	0	0	∞	-∞	0	0	
18	Ireland	0	0	∞	-∞	0	0	
19	Latvia	0	0	∞	-∞	0	0	
20	Lithuania	0	0	∞	-∞	0	0	
21	Norway	0	0	∞	-∞	0	0	
22	Svalbard and Jan Mayen Isl	0	0	∞	-∞	0	0	
23	Sweden	0	0	∞	-∞	0	0	
24	United Kingdom	0	0	∞	-∞	0	0	
25	Albania	0	0	∞	-∞	0	0	
26	Bosnia and Herzegovina	0	0	∞	-∞	0	0	
27	Croatia	0	0	∞	-∞	0	0	
28	Greece	0	0	∞	-∞	0	0	
29	Italy	0	0	∞	-∞	0	0	
30	Portugal	0	0	∞	-∞	0	0	
31	Slovenia	0	0	∞	-∞	0	0	
32	Spain	0	0	∞	-∞	0	0	
33	Macedonia, FYR	0	0	∞	-∞	0	0	
34	Montenegro	0	0	∞	-∞	0	0	
35	Serbia	0	0	∞	-∞	0	0	
36	Austria	0	0	∞	-∞	0	0	
37	Belgium	0	0	∞	-∞	0	0	
38	France	0	0	∞	-∞	0	0	
39	Germany	0	0	∞	-∞	0	0	
40	Netherlands	0	0	∞	-∞	0	0	
41	Switzerland	0	0	∞	-∞	0	0	
42	Bahamas	0	0	∞	-∞	0	0	
43	Cuba	209	0	82	100	18	91	
44	Dominican Republic	1115	0	75.6	100	24.4	96	
45	Haiti	618	0	75	100	25	92	
46	Jamaica	147	0	75.5	100	24.5	83	
47	Puerto Rico	196	0	75.8	100	24.2	88	
48	Belize	33	0	86.5	89.9	3.4	88	
49	Costa Rica	1306	0	51.2	100	48.8	77	
50	El Salvador	392	0	75.3	100	24.7	89	
51	Guatemala	3371	0.1	75.6	100	24.5	96	
52	Honduras	3686	0.1	77.3	100	22.7	95	
53	Mexico	51790	1.4	44	100	56	95	
54	Nicaragua	946	0	76	100	24	94	
55	Panama	944	0	51.5	83.3	31.8	67	
56	Argentina	1706	0	44	100	56	87	
57	Bolivia	12653	0.3	44	100	56	96	
58	Brazil	96509	2.5	45.5	100	54.5	95	
59	Chile	1110	0	45.1	100	54.9	81	
60	Colombia	14798	0.4	51.2	100	48.8	87	
61	Ecuador	6637	0.2	52.6	100	47.4	89	
62	French Guiana	0	0	∞	-∞	0	0	
63	Guyana	968	0	75.2	100	24.8	87	
64	Paraguay	16	0	100	100	0	100	
65	Peru	24857	0.7	51.2	100	48.8	96	
66	Suriname	0	0	∞	-∞	0	0	
67	Uruguay	0	0	∞	-∞	0	0	
68	Venezuela	9841	0.3	51	100	49	86	
69	Australia	615	0	99.1	100	0.9	100	
