"distance","diffelev","sddiffelev","crowdist","sdcrowdist","diffpole","sddiffpole","planted","note"
0,0,0,0,0,0,0,185.609296770928,"unmodeled"
0,0,0,0,0,0,0,420.252905015475,"nomoving"
1,12.6739432423701,272.9760245045,0.0692149662410979,0.0196327873537902,0.00107301140840117,0.0494753334596424,3.2967963158633,"shifted"
2,-16.0740656584034,352.856564660312,0.0830201332282284,0.183785256017623,0.00126790634592221,0.0474260854905407,1.64266297849664,"shifted"
3,-8.9198164864811,374.030783930973,0.0938925287052021,0.29751605756545,-0.000740179301340211,0.0475095386020952,1.12863646154385,"shifted"
4,-9.03259848255508,393.2519253289,0.113849508523033,0.542741826794827,-0.00185658368174067,0.0474594468029355,0.903591758644168,"shifted"
5,-24.4430297540521,387.511499928274,0.117419502585685,0.47425513219956,-0.00209184471376815,0.0471031006114672,0.763675688658159,"shifted"
6,-28.3733480461556,413.968607751123,0.124693434795901,0.538051590961248,-0.000746737355406425,0.0469133021852465,0.67041026960801,"shifted"
7,-37.6936484754706,414.273530190368,0.125628322820948,0.484631291945873,-0.000930798209121956,0.0468022857144126,0.60250319875474,"shifted"
8,-39.1814156974152,436.281060709344,0.125895674071027,0.498252919544359,-0.000476368697651275,0.0466840048355634,0.553406409234737,"shifted"
9,-43.4297648363233,423.810804851354,0.140110969241375,0.553898988879629,-0.000752894029013169,0.0469706990619649,0.500838676371011,"shifted"
10,-46.6916496990795,434.779351981315,0.143496695187344,0.553914592900037,-0.000684557061666175,0.0468318878504293,0.4703519183053,"shifted"
11,-48.9283988820077,435.496192428015,0.15098701038098,0.569653700993296,-0.000872094496418727,0.0469409113700042,0.438049918457312,"shifted"
12,-55.0428590726183,444.416428102217,0.147826124250352,0.536235698286984,-8.7555677146143e-05,0.0468826516931779,0.421761547433951,"shifted"
13,-53.2852623400256,452.99727985033,0.143205157988773,0.526006192146513,-0.000344126835089361,0.0465418719141164,0.395893898747144,"shifted"
14,-55.6616624856293,454.486630706095,0.142307079067339,0.501393419995601,-0.000484946613615228,0.046342302934042,0.376146426460525,"shifted"
15,-60.1981683479397,463.659145714896,0.137861742035159,0.500804376699918,-0.000127169822554263,0.0462759741780156,0.356471690735239,"shifted"
16,-63.3375125743869,465.830191734501,0.138468653372276,0.478748610356936,-0.000579093266731481,0.0462107740020667,0.342978323137009,"shifted"
17,-62.9523245689019,474.150478133977,0.129816144640353,0.465616297081711,-0.000473101315103975,0.0462800217773724,0.331077967246124,"shifted"
18,-66.2986684526032,471.825846267668,0.133846254556084,0.464843038369553,-0.0010829398563545,0.0462972113608206,0.319959124147015,"shifted"
19,-64.1100002271598,482.297519247567,0.130663139361555,0.451126683620133,-0.00109983626930656,0.04629544082032,0.309161950749025,"shifted"
20,-70.961832651035,484.050824425966,0.134071741269523,0.427902388319842,-0.00113098407902599,0.0464014278892006,0.298046108881544,"shifted"
21,-68.5718749274081,490.44488882821,0.131488380389224,0.44438313005206,-0.0011123888052053,0.0465774097414447,0.284919423436987,"shifted"
22,-75.9084495186356,495.381036078302,0.133648030630506,0.426102647396733,-0.000911737067262344,0.0464628421266805,0.278411959584553,"shifted"
23,-74.4854242703696,495.637871278792,0.132390796971401,0.429646740497528,-0.00114453187349635,0.0468131963581854,0.269145670267287,"shifted"
24,-86.512848203844,498.556450428465,0.129555852064863,0.423703548102762,-0.000700432304668269,0.0470027353865736,0.259369486172351,"shifted"
25,-80.0570066895655,500.227272386505,0.134535821770409,0.434157138885214,-0.00059422145132585,0.0471151957426773,0.249412053885204,"shifted"
26,-85.2914129789701,502.727603088445,0.132313769697381,0.39841168069551,-0.00063684247481284,0.0468512054459802,0.245640732327284,"shifted"
27,-80.8223926673509,501.484387924567,0.132008231276934,0.402868047521964,-0.000570890914324827,0.0469437538264224,0.239379047146531,"shifted"
28,-77.6765472399576,507.395260416453,0.134654696072529,0.435985171472168,-0.000652750467204223,0.0467608586295685,0.23533873879745,"shifted"
29,-82.9638549299907,503.125989198297,0.126276529132969,0.368007668657343,-0.000294923450960685,0.0467067371467042,0.228667685900317,"shifted"
30,-92.0013568795544,506.384443246354,0.132893999009004,0.386432637185306,-0.000342587775095572,0.0466181544593627,0.225231584329314,"shifted"
31,-92.4832489438164,499.546268922689,0.124940237510138,0.345231753318014,-1.7683335320064e-05,0.0467662235802974,0.21882672124839,"shifted"
32,-92.5127474575171,510.564425223486,0.13119436930415,0.387369241498036,0.000258934225810865,0.0467209699552931,0.213528206554343,"shifted"
33,-90.2190494422068,504.887771172992,0.124637240171377,0.358574622331756,0.0001760631100811,0.0467977773815059,0.208351288762824,"shifted"
34,-94.3353624778118,516.45282723465,0.12809508182522,0.377602490282265,-0.000137367573105219,0.0467559975917848,0.206186795373855,"shifted"
35,-88.955169207797,513.921518366985,0.119470019348341,0.307611450149013,0.000306774617534102,0.0467703502182041,0.200415485930151,"shifted"
36,-94.6267534529842,522.577184214342,0.12284493556391,0.332689352494736,0.000118531010089182,0.0465677968522118,0.197855624445186,"shifted"
37,-94.9871886164167,519.064913360318,0.124375623490143,0.356775926064725,0.00051980171074186,0.0465915302196983,0.194203956678778,"shifted"
38,-94.1890275774222,521.482070760675,0.123799529886552,0.323326740087138,-8.21839267303509e-05,0.0465711046327925,0.190460524957365,"shifted"
39,-99.4021925238013,515.823004407809,0.125993031112504,0.351397603010326,-0.000271609274106965,0.0466318526835106,0.184246555724965,"shifted"
40,-99.2740284779357,520.973766046,0.121236784352895,0.317195645983451,-0.000411007933000682,0.0464380046179681,0.183680124734012,"shifted"
41,-94.2820555635488,520.645240365323,0.121898017238137,0.311240785481385,6.6222216208607e-05,0.0464105073483555,0.180304713086686,"shifted"
42,-92.7813025653553,527.010662988458,0.120463137746216,0.306305231120422,-0.000323929084987039,0.0463001804460976,0.177386307108025,"shifted"
43,-91.0947023999195,529.977025717233,0.119881443342795,0.300397300421068,-5.37729905990366e-06,0.0464767703992663,0.171728267126459,"shifted"
