country,variety,change
Benin,robusta,0.63957494174899898
Burundi,arabica,1.2805580616743699
Cambodia,combined,1.6722729137223962
Mozambique,combined,1.3377089234094082
Nigeria,robusta,1.6791661037501742
Ecuador,combined,0.80873268310171609
Papua New Guinea,combined,0.82345522196573084
Paraguay,arabica,0.92583867933377151
Congo,combined,1.4634014038279604
Mexico,combined,0.90971941682140578
Ethiopia,arabica,0.62488465241801983
Angola,robusta,1.6528779452428077
Cameroon,combined,1.0571077482231666
Honduras,arabica,1.5786047919382777
Thailand,combined,1.3646095327230947
Uganda,combined,1.0337398591691176
Benin,combined,0.74919512538572541
Cuba,arabica,1.1842640898327648
Suriname,combined,0.033716082015476684
Haiti,arabica,0.82567832921799811
El Salvador,arabica,0.29982664420092636
Trinidad and Tobago,combined,1.2629194776976991
Yemen,arabica,1.4401021869931672
Kenya,combined,0.19312435072461315
Malawi,arabica,0.60794771312957285
Indonesia,combined,0.78048244895373831
Colombia,arabica,1.2525896057759722
Liberia,robusta,0.28452011212140399
Costa Rica,arabica,0.78432336756424992
Nepal,combined,0.82385566618501282
Panama,arabica,1.0296927523139732
Angola,combined,0.38272625337298866
Togo,robusta,0.75786554590131183
Guatemala,arabica,0.8314948615776101
Brazil,combined,0.90537083582948796
Myanmar,combined,1.5058578180232323
Nicaragua,arabica,1.3171781751982594
Madagascar,combined,1.0331344293204541
Sierra Leone,robusta,0.088341774998413239
Gabon,combined,2.1168804069355636
Thailand,robusta,0.27631375508347533
Kenya,arabica,0.060261063144454403
Timor-Leste,combined,1.1259543067423106
Burundi,combined,1.2519652195083204
Zimbabwe,arabica,1.2072902033943593
Belize,combined,0.74368042594615169
Zambia,arabica,0.69081642748393224
Guyana,robusta,0.51454160282215267
Sri Lanka,combined,0.44338696478001344
Gabon,robusta,0.26628715451345109
Puerto Rico,combined,1.4403277526275597
Guyana,arabica,0.28397679925376068
Jamaica,arabica,1.8821171037786821
Yemen,combined,2.7854034251818169
Rwanda,arabica,0.81637341876927738
Guinea,robusta,2.4977612602969854
Guatemala,combined,1.569822391529563
Congo,robusta,0.040877911416220936
Ghana,robusta,1.1446230076048196
Peru,arabica,1.2304628918364837
Guyana,combined,0.63699634051986487
Saudi Arabia,combined,0.75833288631321871
India,combined,0.84011269908151998
Malaysia,robusta,170.59982361390999
Philippines,combined,0.71928270138857842
