"country","variety","coeff","value"
"Cambodia","combined","constant",-7.06442218022788
"Ethiopia","arabica","constant",2.08677483869153
"Cameroon","combined","constant",-2.61995840713084
"Ghana","robusta","constant",-5.05193140303755
"Saudi.Arabia","combined","constant",NA
"Guatemala","arabica","constant",0.338089489534758
"Guatemala","combined","constant",-3.36927252108697
"Dominica","combined","constant",NA
"Liberia","robusta","constant",9.36108765249176
"Gabon","robusta","constant",9.09366369972277
"Gabon","combined","constant",-8.32434570447506
"Yemen","combined","constant",-7.00242351862287
"Yemen","arabica","constant",-4.64439698714655
"Jamaica","arabica","constant",-9.26774745503596
"Samoa","combined","constant",NA
"Kenya","arabica","constant",20.2804286214517
"Kenya","combined","constant",12.3016360617308
"India","combined","constant",NA
"Saint.Lucia","combined","constant",NA
"Rwanda","arabica","constant",0.0714435379537472
"Peru","arabica","constant",-1.93917170260778
"Vanuatu","combined","constant",NA
"Malawi","arabica","constant",3.32776763852518
"Benin","robusta","constant",-1.03830763087614
"Benin","combined","constant",-3.27196389875415
"Cuba","arabica","constant",-4.64317804173531
"Togo","robusta","constant",-2.68275119134408
"Tonga","combined","constant",NA
"Indonesia","combined","constant",1.77044852338
"Mauritius","combined","constant",NA
"Angola","combined","constant",1.53516543609699
"Angola","robusta","constant",-7.77174495727914
"Trinidad.and.Tobago","combined","constant",-4.98317953629088
"Nicaragua","arabica","constant",-4.04290933668041
"Malaysia","robusta","constant",-63.3302365001831
"Mozambique","combined","constant",-3.03647232941135
"Uganda","combined","constant",-1.05480312504734
"Brazil","combined","constant",NA
"Guinea","robusta","constant",-12.1807334896464
"Panama","arabica","constant",-1.77557326467661
"Costa.Rica","arabica","constant",1.81092392058516
"Nigeria","robusta","constant",-9.47693827316538
"Ecuador","combined","constant",0.0799914070737311
"El.Salvador","arabica","constant",8.15425069603578
"Puerto.Rico","combined","constant",-5.99235857328998
"Thailand","combined","constant",-5.04611267370452
"Thailand","robusta","constant",14.0335526067905
"Haiti","arabica","constant",-1.34494644955776
"Belize","combined","constant",1.61858527111287
"Sierra.Leone","robusta","constant",23.7288188720071
"Philippines","combined","constant",3.20577159266647
"Timor.Leste","combined","constant",-4.10158785388259
"Colombia","arabica","constant",-2.14887120516907
"Burundi","combined","constant",-1.77496593668018
"Burundi","arabica","constant",-1.86937246587842
"Fiji","combined","constant",NA
"Madagascar","combined","constant",-1.60154334756023
"Nepal","combined","constant",NA
"Suriname","combined","constant",28.0743222789616
"Zambia","arabica","constant",0.78520455517216
"Papua.New.Guinea","combined","constant",1.68472489858232
"Zimbabwe","arabica","constant",-1.33560614149447
"New.Caledonia","combined","constant",NA
"New.Caledonia","arabica","constant",NA
"Paraguay","arabica","constant",-2.15376925556518
"Guyana","robusta","constant",3.42023719089368
"Guyana","arabica","constant",9.35959181582197
"Guyana","combined","constant",2.50836717119595
"Honduras","arabica","constant",-4.29774797305266
"Myanmar","combined","constant",-4.59786461998062
"Mexico","combined","constant",NA
"Congo","robusta","constant",24.1429446540682
