country,baseline,increase,decrease,avgconf,lossperc,chngperc,harvest,unaccharv,harvloss,harvlossperc,incconf,decconf,harvconf,unharvbase
Afghanistan,0,184,0,12.644,nan,inf,0,0,0,nan,12.644,nan,nan,0
Angola,284945,1346100,-46297,97.113,-16.2,456.2,9945,5125,-1005,-10.1,97.462,86.978,40.154,275000
United Arab Emirates,69,118,-69,41.894,-100.0,69.6,0,0,0,nan,9.642,96.594,nan,69
Argentina,143374,171539,-58243,93.527,-40.6,79.0,0,0,0,nan,93.503,93.598,nan,143374
American Samoa,19,0,0,5.882,-0.1,-0.1,0,0,0,nan,nan,5.882,nan,19
Antigua and Barbuda,0,25,0,23.325,nan,inf,0,0,0,nan,23.325,nan,nan,0
Australia,230551,38395935,-79839,96.627,-34.6,16619.4,0,0,0,nan,96.651,84.664,nan,230551
Burundi,4818,167,-1032,84.480,-21.4,-17.9,14081,12798,-2655,-18.9,72.809,86.371,60.590,790
Benin,19139,1261343,-4862,99.096,-25.4,6564.9,70,9,-13,-18.9,99.122,92.245,61.470,19069
Burkina Faso,44203,22438,-36287,93.911,-82.1,-31.3,0,0,0,nan,86.082,98.752,nan,44203
Bangladesh,24542,4465936,-955,99.821,-3.9,18193.2,0,0,0,nan,99.824,85.468,nan,24542
Bahrain,0,35,0,30.226,nan,inf,0,0,0,nan,30.226,nan,nan,0
Bahamas,3148,54,-3057,99.699,-97.1,-95.4,0,0,0,nan,85.865,99.943,nan,3148
Belize,4255,75707,-554,94.445,-13.0,1766.4,2,39,-1,-37.0,94.434,95.901,68.471,4253
Bolivia,107607,8740908,-8204,97.687,-7.6,8115.4,247,1614,-29,-11.7,97.714,69.915,34.060,107360
Brazil,1913615,34399580,-216565,94.622,-11.3,1786.3,1095159,165969,-128500,-11.7,94.714,80.032,42.089,1658632
Barbados,97,0,-3,62.062,-2.7,-2.6,0,0,0,nan,17.647,63.602,nan,97
Brunei Darussalam,1581,430,-4,80.232,-0.3,26.9,0,0,0,nan,80.551,48.406,nan,1581
