country,scenario,temp,precip
Angola,present,213.8018228332037,770.4526398936825
Burundi,present,199.09016679273572,1214.052101205807
Benin,present,271.73764640553776,1100.7283548367836
Belize,present,250.00014228169576,3553.240052804896
Bolivia,present,136.0744722393089,945.5233017726109
Brazil,present,210.34449288323322,1290.0774345173766
Central African Republic,present,253.98405846885325,1519.115215681593
China,present,184.34226437045635,1505.6672448472927
Côte d'Ivoire,present,255.85990490731137,1543.7017106637136
Cameroon,present,231.05013175208316,2004.9639096102849
Democratic Republic of the Congo,present,209.67162073899135,1551.1027726215639
Republic of Congo,present,237.8315597978933,1828.4292791226114
Colombia,present,203.26231838276584,2413.3187779686746
Costa Rica,present,230.8107856860799,2923.1627937299854
Cuba,present,245.7140301505427,1328.7662184096328
Dominican Republic,present,232.1134285351108,1302.7848689932873
Ecuador,present,216.8576213966844,1027.8927744489322
Ethiopia,present,202.9433195046467,1214.218434057562
Gabon,present,247.8412667375435,2053.8854879779005
Ghana,present,264.7891193384952,1357.1436352697492
Guinea,present,244.1003642783395,1907.3698430465774
Equatorial Guinea,present,231.14031385023478,2452.1008519938273
Guatemala,present,211.52958535975424,2109.3636391426567
Guyana,present,263.66181708658127,1941.3283727177272
Honduras,present,229.37753350877534,1539.632111215991
Haiti,present,238.877959710883,1566.862454791233
Indonesia,present,232.30764187327384,2694.106261891855
India,present,248.34158458536297,840.7957869395891
Jamaica,present,234.54272832103274,2322.838054512144
Kenya,present,224.47054021578222,862.6116678793036
Cambodia,present,275.7681957297434,1498.218692094708
Lao PDR,present,204.76754546229526,1555.9821115249233
Liberia,present,257.8620924010859,2910.1708826521162
Sri Lanka,present,267.4150673882814,1868.1457089328142
Madagascar,present,214.654434106009,1784.2671431189226
Mexico,present,220.6628297371308,1682.8588515086092
Myanmar,present,201.5354067573267,1666.6258685103905
Mozambique,present,224.806945265418,1134.4657404034397
Malawi,present,238.4708360845357,1445.8079497743468
Malaysia,present,263.45597380880554,2608.4290454316106
Nigeria,present,261.0831901776106,1417.0737342364205
