condition,variance
total,1216.8
elev,0.075746862383160654
topsand,0.11198121410825711
topsilt,0.13162078806005634
topclay,0.16755307079712128
topcarb,0.032389966091038662
topcalc,0.0023703230037767642
topgyps,0.0030171784925812567
botsand,0.093958026992006061
botsilt,0.15899950369356797
botclay,0.15385629347411559
botcarb,0.071037357891236427
botcalc,0.0015661374315170434
botgyps,0.00053393427361711693
bio1,0.044721171020833922
bio2,0.020592165494611563
bio3,1.0094828163705427
bio4,0.040743365155472548
bio5,0.15276031579224708
bio6,0.25976426177744794
bio8,0.056234472931275259
bio9,0.03843122013363446
bio10,0.14370445390833531
bio11,0.13653068749063765
bio12,2.0772375009749315
bio13,3.3048930006532165
bio14,0.69729856720318284
bio15,0.013347906289231687
bio16,2.4853772103032696
bio17,0.95425759318643055
bio18,7.5107505424919054
bio19,0.86859172113125283
lat,5.8870045504754334
trav,0.11687123305424015
gaez,0.085863541116804082
