country,baseline,increase,decrease,avgconf,lossperc,chngperc,harvest,harvlossperc,incconf,decconf,harvconf
Angola,44374,87261,-29318,90.616,-66.1,130.6,-11719626,-9.1,89.068,95.223,7.155
Argentina,45570,10358,-45570,95.834,-100.0,-77.3,0,nan,75.278,100.507,nan
American Samoa,0,0,0,91.176,nan,inf,0,nan,91.176,nan,nan
Australia,96144,19816,-92618,97.436,-96.3,-75.7,0,nan,85.399,100.011,nan
Burundi,3795,3251,-3011,96.710,-79.3,6.3,-171247,-11.9,96.598,96.831,12.421
Benin,14425,0,-14425,100.000,-100.0,-100.0,-1551919,-67.4,nan,100.000,67.427
Burkina Faso,0,0,0,100.000,-100.0,-100.0,0,nan,nan,100.000,nan
Bangladesh,2176,624,-2176,86.926,-100.0,-71.3,0,nan,66.161,92.880,nan
Bahamas,4981,0,-4981,100.069,-100.0,-100.0,0,nan,35.294,100.069,nan
Belize,9575,2897,-2762,84.347,-28.9,1.4,-1545,-4.6,81.496,87.338,5.703
Bolivia,57999,58932,-55416,74.311,-95.5,6.1,-17960040,-7.7,59.934,89.601,7.472
Brazil,1068146,240945,-962667,90.516,-90.1,-67.6,-2486121256,-38.8,77.100,93.874,36.014
Barbados,408,0,-405,90.846,-99.4,-99.4,0,nan,nan,90.846,nan
Brunei Darussalam,3336,0,-3336,99.849,-100.0,-100.0,0,nan,nan,99.849,nan
Bhutan,0,3606,0,112.782,nan,inf,0,nan,112.782,nan,nan
Botswana,6460,616,-6278,74.926,-97.2,-87.6,0,nan,37.190,78.631,nan
Central African Republic,242229,7936,-213899,98.039,-88.3,-85.0,-39480408,-65.9,44.057,100.042,54.024
China,30318,7756,-23712,92.444,-78.2,-52.6,-8137,-5.0,89.942,93.262,5.263
Côte d'Ivoire,78878,7003,-77166,89.754,-97.8,-89.0,-589312568,-64.4,43.473,93.954,59.588
Cameroon,101550,14740,-75630,79.415,-74.5,-60.0,-749552215,-43.0,65.613,82.105,32.442
Democratic Republic of the Congo,259733,172965,-226670,69.476,-87.3,-20.7,-15662006,-8.1,61.126,75.848,5.394
Republic of Congo,24283,31121,-20078,79.522,-82.7,45.5,-30183126,-45.3,80.811,77.524,21.112
Colombia,220022,64982,-188230,84.404,-85.6,-56.0,-884199425,-34.7,50.179,96.219,34.657
Comoros,0,0,0,88.235,0.0,1.519728836251896e+17,0,nan,88.235,nan,nan
Cape Verde,513,167,-414,81.347,-80.8,-48.2,0,nan,85.526,79.664,nan
Costa Rica,3424,1288,-2532,88.012,-73.9,-36.3,-30419555,-27.4,71.060,96.633,22.932
Cuba,46925,7377,-37132,86.865,-79.1,-63.4,-31377171,-27.9,58.325,92.536,32.964
Cayman Islands,0,157,0,38.235,nan,inf,0,nan,38.235,nan,nan
Djibouti,84,0,-84,100.000,-100.0,-100.0,0,nan,nan,100.000,nan
