country,baseline,increase,decrease,avgconf,lossperc,chngperc,harvest,unaccharv,harvloss,harvlossperc,incconf,decconf,harvconf,unharvbase
Angola,139445,13200,-34795,86.779,-25.0,-15.5,5512,9553,-1816,-32.9,70.382,93.000,42.973,133933
United Arab Emirates,2726,230,-1210,80.791,-44.4,-35.9,0,0,0,nan,16.653,92.982,nan,2726
Argentina,121588,12423,-44769,83.848,-36.8,-26.6,0,0,0,nan,48.093,93.770,nan,121588
Australia,413416,44147,-90909,77.765,-22.0,-11.3,0,0,0,nan,42.270,95.002,nan,413416
Burundi,2771,398,-352,79.857,-12.7,1.7,77,92,-6,-7.7,74.991,85.363,20.841,2694
Benin,14188,315,-9788,96.344,-69.0,-66.8,231,38,-204,-88.5,25.065,98.634,87.596,13958
Burkina Faso,22098,67,-21400,99.137,-96.8,-96.5,0,0,0,nan,15.186,99.400,nan,22098
Bangladesh,8099,229,0,70.623,-0.0,2.8,0,0,0,nan,70.655,5.882,nan,8099
Bahrain,14,11,0,29.412,0.0,73.6,0,0,0,nan,29.412,nan,nan,14
Bahamas,2128,51,-2084,98.163,-97.9,-95.5,0,0,0,nan,37.604,99.645,nan,2128
Belize,4308,57,-372,83.878,-8.6,-7.3,1,3,0,-0.2,59.835,87.541,0.407,4307
Bolivia,55347,2178,-14069,88.903,-25.4,-21.5,2185,25216,-199,-9.1,71.432,91.608,37.032,54646
Brazil,1159462,125846,-259487,78.682,-22.4,-11.5,465810,282229,-131665,-28.3,50.412,92.392,44.648,1061679
Barbados,139,0,-49,94.925,-35.5,-35.5,0,0,0,nan,nan,94.925,nan,139
Brunei Darussalam,1029,0,0,2.941,-0.0,-0.0,0,0,0,nan,nan,2.941,nan,1029
Bhutan,1563,574,-145,66.015,-9.3,27.5,0,0,0,nan,59.461,91.984,nan,1563
Botswana,21441,3358,-15548,84.660,-72.5,-56.9,0,0,0,nan,24.661,97.619,nan,21441
Central African Republic,124289,1430,-33965,88.287,-27.3,-26.2,6696,302,-974,-14.5,46.681,90.039,27.525,121919
Chile,7582,1222,-2433,86.734,-32.1,-16.0,0,0,0,nan,64.636,97.833,nan,7582
China,96950,12901,-11899,67.401,-12.3,1.0,6,13,-1,-11.0,45.504,91.142,23.206,96945
Côte d'Ivoire,57563,303,-31202,96.661,-54.2,-53.7,78296,28562,-20527,-26.2,50.432,97.110,43.752,32472
Cameroon,84670,3391,-14919,81.709,-17.6,-13.6,170947,32580,-20050,-11.7,58.280,87.034,35.826,42349
Democratic Republic of the Congo,327890,37771,-41704,70.968,-12.7,-1.2,6581,15926,-216,-3.3,60.479,80.468,11.197,325703
Republic of Congo,28699,1825,-2471,68.201,-8.6,-2.3,6307,1473,-250,-4.0,61.772,72.949,21.752,26786
Colombia,200401,9438,-68682,90.948,-34.3,-29.6,193946,103946,-40151,-20.7,63.529,94.715,32.959,168479
Comoros,79,99,0,76.048,0.0,125.7,0,0,0,nan,76.048,nan,nan,79
Cape Verde,366,3,-86,84.095,-23.6,-22.7,0,0,0,nan,70.128,84.656,nan,366
Costa Rica,6287,322,-1254,78.029,-19.9,-14.8,4874,8106,-1352,-27.7,47.873,85.763,35.914,4884
Cuba,16983,314,-4900,87.893,-28.9,-27.0,5584,7569,-2049,-36.7,51.916,90.197,49.668,14206
Djibouti,1950,0,-1623,98.931,-83.2,-83.2,0,0,0,nan,nan,98.931,nan,1950
Dominica,202,1,-32,79.977,-15.9,-15.6,0,0,0,nan,17.647,81.394,nan,202
Dominican Republic,5569,274,-639,83.900,-11.5,-6.5,18709,44232,-3006,-16.1,76.110,87.247,27.790,2480
Algeria,56739,7453,-4613,56.162,-8.1,5.0,0,0,0,nan,30.010,98.420,nan,56739
