country,baseline,increase,decrease,avgconf,lossperc,chngperc,harvest,unaccharv,harvloss,harvlossperc,incconf,decconf,harvconf,unharvbase
Angola,139445,7311420,-40192,90.659,-28.8,5214.4,5512,9553,-1906,-34.6,90.656,91.232,44.344,133933
United Arab Emirates,2726,53382,-2152,82.787,-78.9,1879.6,0,0,0,nan,82.644,86.331,nan,2726
Argentina,121588,8050057,-49940,89.088,-41.1,6579.7,0,0,0,nan,89.077,90.929,nan,121588
American Samoa,0,15,0,94.118,nan,inf,0,0,0,nan,94.118,nan,nan,0
Australia,413416,73259203,-149278,90.652,-36.1,17684.3,0,0,0,nan,90.663,85.377,nan,413416
Burundi,2771,416,-352,79.636,-12.7,2.3,77,92,-6,-7.7,74.792,85.363,20.841,2694
Benin,14188,975808,-10696,88.096,-75.4,6802.2,231,38,-209,-90.6,87.998,97.007,89.807,13958
Burkina Faso,22098,131,-22068,98.804,-99.9,-99.3,0,0,0,nan,20.822,99.266,nan,22098
Bangladesh,8099,3588348,-790,98.074,-9.7,44293.9,0,0,0,nan,98.081,65.784,nan,8099
Bahrain,14,29,0,27.706,0.0,200.8,0,0,0,nan,27.706,nan,nan,14
Bahamas,2128,51,-2084,98.163,-97.9,-95.5,0,0,0,nan,37.604,99.645,nan,2128
Belize,4308,90350,-1227,94.788,-28.5,2068.7,1,3,0,-12.7,95.112,70.941,23.399,4307
Bolivia,55347,3536701,-22412,93.163,-40.5,6349.5,2185,25216,-277,-12.7,93.225,83.380,41.420,54646
Brazil,1159462,24931008,-447055,87.865,-38.6,2111.7,465810,282229,-148407,-31.9,87.917,84.928,51.176,1061679
Barbados,139,0,-49,94.925,-35.5,-35.5,0,0,0,nan,nan,94.925,nan,139
Brunei Darussalam,1029,358597,-17,88.130,-1.6,34836.7,0,0,0,nan,88.133,15.438,nan,1029
Bhutan,1563,103933,-304,83.017,-19.4,6630.9,0,0,0,nan,83.063,67.434,nan,1563
Botswana,21441,24386,-16919,62.219,-78.9,34.8,0,0,0,nan,39.312,95.236,nan,21441
Central African Republic,124289,376008,-42918,86.727,-34.5,268.0,6696,302,-1643,-24.5,86.658,87.333,50.338,121919
Chile,7582,212190,-3104,81.179,-40.9,2757.6,0,0,0,nan,80.982,94.656,nan,7582
China,96950,5092911,-24986,82.092,-25.8,5227.3,6,13,-1,-21.0,82.100,80.457,35.203,96945
Côte d'Ivoire,57563,162990,-36678,78.483,-63.7,219.4,78296,28562,-29096,-37.2,75.021,93.865,60.494,32472
Cameroon,84670,106868,-17064,79.613,-20.2,106.1,170947,32580,-20830,-12.2,78.604,85.931,36.415,42349
Democratic Republic of the Congo,327890,650891,-44348,86.286,-13.5,185.0,6581,15926,-230,-3.5,86.788,78.922,12.510,325703
Republic of Congo,28699,481799,-2549,92.801,-8.9,1669.9,6307,1473,-254,-4.0,92.913,71.691,21.839,26786
Colombia,200401,2441941,-98798,81.907,-49.3,1169.2,193946,103946,-56230,-29.0,81.519,91.485,42.708,168479
Comoros,79,99,0,76.048,0.0,125.7,0,0,0,nan,76.048,nan,nan,79
Cape Verde,366,26,-105,86.829,-28.7,-21.7,0,0,0,nan,95.953,84.605,nan,366
Costa Rica,6287,17421,-1335,92.047,-21.2,255.9,4874,8106,-1364,-28.0,92.668,83.939,36.754,4884
