country,scenario,temp,precip
Angola,present,237.65094087543036,727.938064319406
Burundi,present,221.04524535167243,995.5213295101015
Benin,present,283.22204427429006,1342.7360765646372
Belize,present,254.3333659003239,2213.7856052045718
Bolivia,present,261.70353950919946,1395.1887680502405
Brazil,present,247.64667109638134,1330.0955102830862
Central African Republic,present,272.45875799118977,1580.7139739689128
China,present,197.88556698878045,1441.771762451851
Côte d'Ivoire,present,274.59825712113127,1759.2721480944158
Cameroon,present,252.59679591525907,2098.5562248342444
Democratic Republic of the Congo,present,258.9340788723025,1543.4498916119887
Republic of Congo,present,253.6029606364793,1784.4532062157873
Colombia,present,253.827384818436,2994.0677307808787
Costa Rica,present,262.8759212514622,3084.4569788738563
Cuba,present,261.80701651266105,1336.7410016594888
Dominican Republic,present,249.3057834253313,1264.7244150179642
Ecuador,present,253.8119595596821,2505.462163671216
Ethiopia,present,221.0634806330741,911.8730326471733
Gabon,present,252.60652871869962,1896.7150935947004
Ghana,present,279.47744494178187,2038.5678609997922
Guinea,present,260.5458658292905,2221.2013415511306
Equatorial Guinea,present,246.7941700241681,2387.2461511743104
Guatemala,present,230.61999987285503,1944.9069936874575
Guyana,present,278.7968694216142,2137.988867469002
Honduras,present,251.06381103590275,1297.1621459805606
Haiti,present,256.03881101029936,1474.4624629937193
Indonesia,present,261.40920013481997,2493.4007877842146
India,present,259.8606182738114,2143.2444690195107
Jamaica,present,249.55630439321786,2173.584683617062
Kenya,present,281.680949553758,516.1679602283186
Cambodia,present,261.9981000874318,2287.1093543004854
Lao PDR,present,222.7401250663478,1615.946312633788
Liberia,present,272.07843604163463,3361.845040324101
Sri Lanka,present,282.8728518699157,1951.215472129538
Madagascar,present,229.70581460156143,1686.7696480413529
Mexico,present,237.9540713167676,1293.6989183235637
Myanmar,present,276.88669383615166,3069.7778469684727
Mozambique,present,256.72520964261844,807.0211320567513
Malawi,present,236.38147957388617,709.6118407593946
Malaysia,present,279.1647361705872,2740.613604886732
Nigeria,present,274.40209295972454,1649.1814255689735
Nicaragua,present,276.8360559762452,1783.2032075604918
Nepal,present,234.2857865417831,1962.3518165880193
Panama,present,257.48614253184104,3238.3223928335187
Peru,present,182.79260725547346,831.7035502812836
Philippines,present,259.28787439074284,2529.928892881146
Papua New Guinea,present,244.94759185434475,2967.460859672712
Puerto Rico,present,246.05327970988944,1933.161998077565
Paraguay,present,223.48307455585785,1731.1607556755932
Rwanda,present,216.40524167097823,930.5241228778407
Sierra Leone,present,277.18123764746827,3560.027299961396
El Salvador,present,267.2916305280024,1337.971797999454
Suriname,present,286.1953852212179,2182.813558190903
Togo,present,279.06576050432835,1311.6894421370948
Thailand,present,279.8703438766785,2499.0398487290668
Timor-Leste,present,259.75580524204247,1622.7427656571663
Trinidad and Tobago,present,272.583183367682,2067.1494495711013
Tanzania,present,252.4067361082979,984.7622522585492
Uganda,present,245.07581509271662,1173.4393172913033
United States,present,159.668882308886,1371.3551905317247
Venezuela,present,277.7681387424387,942.1266547475142
Vietnam,present,248.45508450972673,2045.2148791075545
Yemen,present,201.6405544404412,205.34910310886255
Zambia,present,236.24440851431032,817.583983808532
Zimbabwe,present,233.66553959002906,470.5329541261344
Angola,in85bi50,231.97311044366361,751.8121547493294
Burundi,in85bi50,209.44417295491402,1271.534476216599
Benin,in85bi50,288.7852770224815,863.4729846118364
Belize,in85bi50,250.9070880898088,1812.779292070955
Bolivia,in85bi50,257.95079749403914,1524.5178348600798
Brazil,in85bi50,241.54682389932663,1471.5609852266225
Central African Republic,in85bi50,268.6459716709563,1526.9099795960085
China,in85bi50,193.7316285731553,1473.1866069396538
Côte d'Ivoire,in85bi50,276.1732260196909,1399.4149550698828
Cameroon,in85bi50,252.20794142295406,1820.4770951042358
Democratic Republic of the Congo,in85bi50,252.97226534733022,1657.0168431550628
Republic of Congo,in85bi50,251.78581423071412,1638.283364287159
Colombia,in85bi50,246.20272462773679,3041.6599916018513
Costa Rica,in85bi50,260.85276315213446,2566.8263357232
Cuba,in85bi50,257.194726508878,1240.8344381896734
Dominican Republic,in85bi50,246.46032827036728,1187.200729156283
Ecuador,in85bi50,243.63907367208557,2820.336031187045
Ethiopia,in85bi50,214.53328942461235,1062.2730470017955
Gabon,in85bi50,252.507764158917,1660.7514229429664
Ghana,in85bi50,281.21629978986215,1585.2643917569055
Guinea,in85bi50,262.88922139198894,1729.1497381613283
Equatorial Guinea,in85bi50,247.0148319299941,1932.4327177407777
Guatemala,in85bi50,226.70513428848943,1782.8705571331775
Guyana,in85bi50,274.6069436610246,1810.3499219294795
Honduras,in85bi50,248.3443640084522,1171.725350567527
Haiti,in85bi50,254.46798718446058,1431.7897505500066
Indonesia,in85bi50,256.0709527272997,2537.086375137258
India,in85bi50,256.04314884502213,2357.256239951625
Jamaica,in85bi50,246.4171002544377,2191.986921094557
Kenya,in85bi50,278.63368754148155,532.1122342634991
Cambodia,in85bi50,258.9340263170434,2298.2134204418226
Lao PDR,in85bi50,219.889561021705,1665.477153056974
Liberia,in85bi50,273.7287153377157,2716.735444334206
Sri Lanka,in85bi50,278.0500772386805,1917.0731126254955
Madagascar,in85bi50,226.17331409835654,1866.7916416360706
Mexico,in85bi50,235.97600622358118,1181.9173950938464
Myanmar,in85bi50,271.64948136041767,3202.203097491277
Mozambique,in85bi50,246.76194089970048,1097.3718116958364
Malawi,in85bi50,224.52094695208174,1034.2733837821304
Malaysia,in85bi50,274.8941180294297,2664.6982351965066
