condition,variance
total,1312.76
elev,0.060059999779231793
topsand,0.037089403550435614
topsilt,0.069514210892240205
topclay,0.073651667822655406
topcarb,0.038948463176356703
topcalc,0.0019184965724799363
topgyps,0.00053705961219876943
botsand,0.030816882927614715
botsilt,0.080305877804634163
botclay,0.074347986432323182
botcarb,0.016480493697139286
botcalc,0.0027466808415461631
botgyps,0.00059080098886489616
bio1,0.012194872010911234
bio2,0.062755034730372777
bio3,0.87157872793051772
bio4,0.068261433997863968
bio5,0.065111291015611375
bio6,0.39412920780025151
bio8,0.069666810707468413
bio9,0.115990628364686
bio10,0.040240907506557719
bio11,0.30126610257680486
bio12,1.7552859510905892
bio13,2.9607017726057587
bio14,0.45158917603593218
bio15,0.017938890646835109
bio16,2.1385041935214208
bio17,0.91062248943681778
bio18,7.3373878101193144
bio19,1.0154363564682689
lat,8.0937259325655244
trav,0.0826656958641033
gaez,0.19267096123553581
