"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52"
"NINO-1",0.0177458428412783,-0.0757293645259388,-0.117746064970883,-0.007364371796303,0.0245310401222925,0.00920605025910303,-0.0376557794491826,0.00939663289595843,-0.0273642418581708,0.0259159379445394,-0.0287175049342947,0.0576263883538369,-0.0275249230771972,0.0175157611508842,0.0389512971126626,0.0391515132488902,0.0391153936468588,0.0210663417597102,-0.00140900543319928,0.00651783172578399,-0.00859055115386812,0.00430333875814626,0.0567340172507859,0.029824311155832,-0.0164092568162273,-0.0655720988577102,0.0662625533370734,-0.00665751072333304,-0.061015012355315,-0.0540585249947838,0.0381504766298314,0.0468857358708087,-0.0158452119839533,-0.0549284513947911,0.125496976059548,-0.0304486683156075,-0.0670307103772993,0.0170698188230549,-0.0290116772521776,-0.0567482708724631,-0.0939841730483163,0.0385939722097829,-0.112589419382205,-0.0030846386559022,-0.029250245451769,-0.0275937832152399,-0.137967793411738,-0.126831233891127,0.0114018192812937,-0.0643933432363438,0.0847000874231798,0.0398158486506512
"NINO-2",0.0175822907888238,-0.093076923323278,-0.126968137881702,-0.0145352243271631,0.0297757484026576,0.000372731308098694,-0.0646254604196613,0.0539965515505091,-0.0479784599048916,0.0297752847135073,-0.0225939995254568,0.0666967915018536,-0.0582419181094142,-0.00508351773059855,0.036047728972609,0.0551352513400779,-0.00689165376087513,-0.000851401526297534,0.0172223170364525,0.0327516493304244,0.0190297407370683,-0.0181062717809847,0.0338402255854357,0.0106597877858721,-0.0291807079036394,-0.0825345341248467,0.0406613419073649,0.00482183958515914,-0.00399223888911043,-0.0568858007704868,0.0162929332945326,-0.00535603130132827,0.053898818538874,-0.0603602603665502,0.12411324742108,-0.0981492668988331,-0.0396152969183856,0.0191934202063606,-0.0405487350816305,-0.0643331338838201,-0.00541600891905486,0.0216117785962609,-0.00993541915666155,-0.0213011926489103,-0.0347710887339944,-0.0500449880616404,-0.0687692246857301,-0.102690445407077,0.0362744891150345,0.0235689566168541,0.0803522750381115,-0.0410510979065671
"NINO-3",0.015479040682024,-0.116569951507694,-0.128647778792151,-0.0465636163520655,0.0485864299087138,-0.00772656373851814,-0.0572391333601965,0.0596733927607417,-0.0832632656664469,0.0237349929290666,0.000819623928197069,0.0664507160931597,-0.0662284025013377,0.00261886408961673,0.0303515112263171,0.0536233466881203,-0.00731991516830841,-0.00143777793429659,0.0274472704672657,0.0456733717275562,0.0246804025067464,-0.0179537072929886,0.0250869249998907,-0.024209932256844,0.0145536579817382,-0.0651181094380541,0.0100200363729818,0.0189987454651938,0.0327984364993754,-0.0113815239817017,-0.0248895110809983,0.0134741541504353,0.0671227826718662,-0.0601658192681841,0.0840195203301335,-0.076526020462778,-0.034714579924863,0.00693059638310261,0.0604821843993874,-0.0661646636084259,0.0719266134327265,0.0226356908730623,-0.00827078321870037,-0.0509419195596089,0.0180004071041129,-0.0362683726527761,-0.0195855634074896,-0.0608045108062316,0.0524759711512256,0.0276994039943184,0.0477519673757994,-0.0745839357842243
"NINO-4",0.0152576802044109,-0.132095361390466,-0.167176078256049,-0.0700117267062845,0.0683974680259232,0.0110560250111269,-0.0596699063337382,0.0698293585307774,-0.0610800404294169,0.00238167472510274,0.00644740024689397,0.0772293155168713,-0.0790195389198666,0.004933415403032,0.0492994739928501,0.0156245039849189,-0.0141446634725527,-0.0279687022839595,0.00131933314289753,0.0450478710046707,0.0373987921005114,-0.00307888546935548,0.042257344070578,-0.00392284231916056,0.00231413391687929,-0.0512702036507459,-0.00153325734479031,0.00244083384312202,0.00641228381707565,0.0230924478881137,-0.0335331510643833,0.0851719933478149,0.091198887156517,-0.0618119847461713,0.0953640099706668,-0.0193144380083848,-0.0426058356931551,0.019927847305259,0.0579669522667216,-0.0455365474975764,0.063659173797779,0.0106790328809338,-0.00634703528045736,-0.0103337125589761,-0.0190768333809424,0.0169020180717637,0.00688180210696441,0.0522852973805476,0.0715879174938324,-0.00495827321618287,-0.0250423120023061,-0.223301972826872
"NINO-5",0.00982027260829818,-0.143414201936937,-0.188330695770469,-0.0776693429524356,0.0651283836016226,0.0286877015425923,-0.0810140930837433,0.0465954164836328,-0.0740457832538999,-0.0217238663343851,0.0201770780056961,0.0721041612932423,-0.103855089520689,-0.0199388524889339,0.0602641836135759,0.017322424120841,-0.0365356432702307,-0.00828546839083466,-0.0076289261960254,-0.0144203212949471,0.046276799866945,0.0278461355007002,0.0326025887101333,0.017977833719671,0.0212098339726664,-0.067419219906598,-0.0209617354761762,-0.0375432466715575,-0.0261657000608622,0.0758992988521505,0.055006795235701,0.0695288593514849,0.0528929569773841,-0.00936559603858276,0.0202712012348158,0.0504299422532581,-0.00287099951095379,0.0694130825223849,0.00833075915100498,-0.0388062420299903,0.0131945676033132,-0.020649596657535,-0.0232449068253436,0.0108890050688203,0.0660080215099313,0.0605137048528857,0.0368611276011719,0.0364931760523673,0.0431816729976048,0.0025328907129245,-0.0723225224011992,-0.282915398711848
"NINO-6",0.00827065772549789,-0.159523552593743,-0.198268706792232,-0.0845348525037303,0.0456480349727995,0.041251096299612,-0.082966560409236,0.0298168665134578,-0.0816530572686916,-0.0415000998833691,0.0220540795830494,0.0872937553713049,-0.077185149101477,-0.00945723706400624,0.0379753368576955,-0.000788595403434734,-0.0291795896751238,0.0124263763627764,-0.00364206350771315,-0.0125449049782774,0.03463349432549,0.0280206051109093,0.00102617312900013,0.0487250443461815,0.0306673638655036,-0.0429695959493453,-0.00668546247998414,-0.0588994610521117,-0.0357548290774667,0.0551195721399222,0.0493848688498269,0.0508403807128614,-0.0028352364318174,0.0257544643980145,-0.0501112997470202,0.023475762826407,0.0336974443090103,0.0567440958385577,0.0147329926524567,-0.0183858086002249,0.00547970286124266,-0.0390888137746484,-0.0384876501357145,0.0396573174919768,0.0392581591704058,0.12598747370286,0.0669445325074641,0.104562073991051,0.0155075858396811,0.0207864653781424,0.0468462626223963,0.294114198179183
"NINO-7",0.00235152908169022,-0.162483787868434,-0.177948623537932,-0.0847366935131922,0.0310078820284718,0.041886636903648,-0.0847256550405822,0.0192091764494993,-0.0356687436842384,-0.0456359091050257,0.0426185853605926,0.088413898568771,-0.0549229688206412,-0.0203233456775755,-0.00537869142583101,-0.0251357367660314,-0.0203204354902731,0.0472476023471374,-0.0261672093842939,0.034553646778217,0.0205834448839308,0.0551907280484485,-0.0218469009590866,0.0475978285550064,0.0262990500103641,-0.0500444032640865,0.002887210983768,-0.0401281126905924,-0.0327926784630573,-0.00511212592638194,-0.00628755627092393,-0.00838674046188167,0.000755199035633488,0.003527640439642,-0.0669212542021865,-0.0400208588790621,0.0632382688844084,0.0513396554121567,0.054038546415056,-0.0361594756110875,0.0347031823968099,-0.0336199662164798,-0.0275929709281006,0.0405197003489828,-0.0117210167446769,0.0442471827547435,0.0488562778523914,0.0264402383248205,0.00370858449567998,0.022439225281184,0.0520762812430313,-0.137477053839811
"NINO-8",0.00242169464455967,-0.131443113206265,-0.136622993731941,-0.0565382927541889,0.00989245961252881,0.0493908068960488,-0.0862221174579956,0.00701795095822187,0.0165761377749679,-0.0361380467447983,0.0611489251360133,0.0695148980849011,-0.012105188071769,-0.0482554148077994,-0.0202335751098598,-0.0507378869993964,-0.035644157776228,0.0447673024735882,-0.0442002946980579,-0.0182577478649653,-0.0137479328868643,0.0784966404952818,-0.0494395653591483,0.0264225121826239,0.00847990314412803,-0.0442252041740078,-0.00274250721348927,0.0212396544267602,-0.0078151317218161,-0.00377515583863649,-0.00455606586918863,-0.0153077764284999,-0.0230641867792614,-0.039965583216037,-0.106278231118783,-0.0400923712355641,0.0526103400074223,-0.00513332868519348,0.0644051950768937,-0.0536592423458925,0.0677057443911875,-0.0326237765636042,0.00727620159457702,0.00877256106616759,0.0112351128446099,0.0183094333183235,-0.0455611135124914,0.0139737735048363,-0.0294387778058336,0.0332800661114747,0.0909784619505054,0.10213528976189
"NINO-9",0.00849170579114234,-0.0991994745812144,-0.0975368336803902,-0.0387788171950336,0.000882869576927509,0.0470876002686882,-0.0570172887539105,0.00323578738937764,0.0438500515239174,-0.0283090192320334,0.072681190347506,-0.000618685279235221,-0.0249573014114891,-0.0475979469150125,-0.017045603674182,-0.0289276489688732,-0.0556125707135168,0.0484172665386163,-0.0768439574162605,-0.0221379287825028,-0.0465595592708866,0.075536490380804,-0.0174936905252999,0.0214366927942535,-0.00699507050289472,0.000834429412836145,-0.014642563787337,0.0206235649166599,0.0102495824046335,-0.00640057223513263,-0.00334973641452592,-0.00805509691609777,-0.0120011714991199,0.00590536356073912,-0.0601996659115909,-0.0215581037247661,0.0364904329213017,-0.0236569846755831,0.0554342217866561,-0.0259946993972991,0.0537876830203033,0.0359712218062692,0.0636455683363938,-0.0841487733766657,0.0429297693782837,-0.0400492770785717,-0.090500087904522,0.08530839267415,0.00626004628947254,-0.0242287394078694,-0.0715502472190842,-0.0152083640145523
"NINO-10",0.0182828820490082,-0.0720504441685395,-0.0635126019258486,-0.0122146873037526,-0.0159960113221653,0.0623736689465117,-0.0501505629445434,-0.0334215035611954,0.0566022267138316,-0.0188931129485755,0.0772730388564968,-0.0337796904377509,0.00240427915357045,-0.0597404407952411,-0.0430181595645492,-0.0249285455766753,-0.0531972563259746,0.0340017820401255,-0.104467236585917,-0.0279731371246383,-0.0647445081139224,0.0368890148405078,0.00277312420287262,0.010339945362036,0.0203585477837705,0.0557421412214465,0.00312065883376777,0.0186195026571724,0.0618333479617728,-0.0216081690266473,0.00753626469334978,0.0174219637198111,0.0127817369045479,0.0214469409327242,0.0190806196115515,-0.0400205996040634,0.0174249553624542,0.00278993583008054,0.0463107508864759,0.0424025136472471,0.0730969826272944,-0.0156171970189241,0.103134234791664,-0.0383481752490463,0.00384553161823874,-0.0936888302773836,-0.00297821775245456,0.0670359011207113,0.0663422744149577,0.00405007125388759,-0.109367511587852,-0.146328682272285
