region,yield2015,yield2016
Africa,-0.2772020173409342,-0.404306884944009
Americas,-0.013157616851764892,-0.17512678424767564
Angola,-0.28579901952170295,-0.45273606031280955
Asia,-0.10032037579237538,-0.35168203563108213
Belize,0.05154859487275604,0.04222946263809338
Benin,-0.08246624005695008,-0.04351651252498552
Bolivia (Plurinational State of),-0.13255595745168694,-0.4062102924782506
Brazil,-0.06235443072779123,-0.2061727480745963
Burundi,-0.1175697822633798,-0.4010525359372624
Cabo Verde,-0.30447610192120034,-0.772923816420685
Cambodia,-0.06750454478630549,0.19403572830714
Cameroon,-0.20324060101767866,-0.16217739110457852
Caribbean,-0.010516554332994033,0.11715209778889174
Central African Republic,0.03450637739500248,-0.1884387152585894
Central America,-0.09429367998064997,-0.44317667620426304
China,-0.11889621984516724,-0.2925383811019969
"China, mainland",-0.11873421773024684,-0.293873378265632
"China, Taiwan Province of",0.024698837992609107,0.2654085493995786
Colombia,0.4218967511246733,0.8898434662151539
Comoros,-0.1738078494340702,0.029003905375006134
Congo,0.06165581813491586,0.08251275708518335
Cook Islands,0.1734021351292943,0.43292291690677503
Costa Rica,0.2596889356815041,0.19225159364224087
Côte d'Ivoire,-0.16041567571528537,-0.05827358640548483
Cuba,-0.29076112412165145,-0.4533120274849215
Democratic Republic of the Congo,-0.2586035789974624,-0.3674191207085283
Dominica,0.10618814451921085,0.25573564995340886
Dominican Republic,-0.0026092380542968863,0.06642540701727662
Eastern Africa,0.02197179884759548,-0.2775507493323095
Eastern Asia,-0.11889621984516724,-0.2925383811019969
Ecuador,-0.11217848375520857,-0.20200404390468957
El Salvador,-0.17519483654598442,-0.2751843887795631
Equatorial Guinea,-0.13024731890711577,0.13842847988372636
Ethiopia,0.1314292225254695,0.17651151256237854
Ethiopia PDR,0.2439682747115758,0.20965375217218862
Fiji,0.1421018294419935,0.19627281973211852
French Polynesia,-0.24483574821871085,-0.4029848400182946
Gabon,0.09693650071993981,0.2543546701127281
Ghana,0.009549701854004833,0.3895848836644496
Guadeloupe,-0.04864118160695975,0.2400796875189335
Guatemala,0.09426831505002477,-0.14890693791038473
Guinea,0.02516330883450115,0.04062846651957847
Guyana,-0.08210278093032838,0.018938523802027554
Haiti,-0.11993991000162285,-0.0909422908190803
Honduras,0.11875085166430793,-0.04189473473669557
India,-0.023840535466372673,-0.3908514163250073
Indonesia,-0.11008397326646274,-0.018925095466755887
Jamaica,0.04083562058951806,0.12837190401242943
Kenya,-0.13139717489775668,-0.2605169796583299
Land Locked Developing Countries,-0.054004269090088125,-0.32120794178265816
Lao People's Democratic Republic,-0.2280014956443783,-0.3746789230316434
Least Developed Countries,-0.1744919565129322,-0.4866100637106769
Liberia,-0.12157529683200777,0.021909365694338656
Low Income Food Deficit Countries,-0.25795212078056323,-0.6159609879095058
Madagascar,-0.23049836167483156,-0.23120663212621603
Malawi,0.0068838075759725115,-0.33294562138580824
Malaysia,0.28573968657658827,0.41522897185127217
Martinique,0.07914683407671039,0.27511730423962216
Mauritius,0.06703325123156255,-0.005928931312938257
Melanesia,-0.04939199460419924,-0.41673605079645093
Mexico,-0.12206676428107016,-0.21099237855534314
Middle Africa,-0.29379168496580904,-0.33822343699160695
Mozambique,-0.16849730004076582,-0.09584318585015017
Myanmar,-0.19772848827432776,-0.09701883815458445
Nepal,-0.06968030526935073,-0.06151184377482033
Net Food Importing Developing Countries,-0.35106975121470085,-0.6620558297584276
New Caledonia,-0.31091379005582487,-0.43329764182133823
Nicaragua,-0.11071763365818628,-0.5341453297871949
Nigeria,0.07847138445887002,0.04109543718460623
Northern America,-0.04690582562971335,0.2849616919379069
Oceania,-0.03807110861432836,-0.4083809133751629
Panama,0.3791324214347038,0.7055108120371745
Papua New Guinea,-0.09060591189388648,-0.3946866765672539
Paraguay,-0.01613487800604238,0.15029435119609147
Peru,-0.1959531874218794,-0.4410009844844503
Philippines,-0.07867895587359852,-0.17405892948534119
Polynesia,-0.18062197697821025,-0.18803777440486596
Puerto Rico,0.22921579881670223,0.5923335750735492
Rwanda,0.021282126337499763,0.007190057396710803
Saint Lucia,-0.17306158079069503,-0.13264934761917796
Saint Vincent and the Grenadines,-0.09470512360753132,-0.019149208544964186
Samoa,-0.19725126883625158,-0.013775276215028054
Sao Tome and Principe,-0.17115939148104214,0.045286989693542334
Saudi Arabia,0.0898375911234151,-0.01907981773734091
Sierra Leone,0.3056805279203397,0.4175261864575967
Small Island Developing States,-0.010671801883893495,-0.08697414945522186
South America,-0.012411875513889614,-0.11088335581122966
South-Eastern Asia,-0.07305696510247203,-0.21497223884305672
Southern Asia,-0.06325875580111436,-0.4334688939150235
Sri Lanka,-0.1820778595440372,-0.09723020196002038
Suriname,-0.13151376793467745,-0.06485900921137736
Thailand,0.12718915684253668,-0.1956760100269378
Timor-Leste,-0.24030258991520742,-0.2390609740697409
Togo,-0.1578904996109078,-0.22592853391698117
Tonga,0.18050149495393783,0.12629148650404018
Trinidad and Tobago,-0.3098157562085003,-0.4292811580027732
Uganda,-0.13769519089717655,-0.40006641507014595
United Republic of Tanzania,-0.14031858292301772,-0.20605848652020312
United States of America,-0.04690582562971335,0.2849616919379069
Vanuatu,0.030758281245095984,0.13705279122769834
Venezuela (Bolivarian Republic of),-0.08678197039998209,-0.25242981761354927
Viet Nam,0.167972295334616,0.12812232346073768
Western Africa,-0.1791988742521764,-0.09045001902182434
Western Asia,-0.23343162608622528,-0.260837213148042
World,-0.059607079875725416,-0.25294228048931067
Yemen,-0.23606871177360383,-0.24986855108319023
Zambia,0.046211489860572524,-0.24311689568053596
Zimbabwe,0.09014836629626843,-0.10266716155097344
